file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
case-workspace.lisp	DEFER_PRIVATE	private	orchestrator.cli	3	no	jonathan,uiop	orchestrator.casegrammar,orchestrator.counterfactual,orchestrator.deontic,orchestrator.dialectic,orchestrator.knowledge,orchestrator.knowledge-packs,orchestrator.paths,orchestrator.strategy,orchestrator.subsumption	defun:3
cli-util.lisp	REUSE	—	orchestrator.cli	30	no	cl-ppcre,uiop	orchestrator.journal,orchestrator.paths,orchestrator.spec,orchestrator.trace	define-condition:2,defun:21,defvar:7
cockpit.lisp	EXTEND	§4.12	orchestrator.cli	13	no	uiop	orchestrator.ai-dump,orchestrator.capability,orchestrator.capability-api,orchestrator.http,orchestrator.paths,orchestrator.review,orchestrator.self-model	defparameter:2,defun:11
cognition-legal.lisp	EXTEND	§4.12	orchestrator.cli	47	no	cl-ppcre	orchestrator.casegrammar,orchestrator.citation-authority,orchestrator.cognition,orchestrator.decisions,orchestrator.deontic,orchestrator.generation,orchestrator.graph,orchestrator.inference,orchestrator.journal,orchestrator.knowledge,orchestrator.knowledge-packs,orchestrator.paths,orchestrator.proposals,orchestrator.subsumption	defclass:14,defmethod:22,defparameter:3,defun:8
cognition-self.lisp	REUSE	L9	orchestrator.cli	54	no	cl-ppcre,uiop	orchestrator.autonomy,orchestrator.citation-authority,orchestrator.cognition,orchestrator.decisions,orchestrator.journal,orchestrator.knowledge-packs,orchestrator.memory,orchestrator.metaeval,orchestrator.paths,orchestrator.proposals,orchestrator.self,orchestrator.self-history,orchestrator.self-model,orchestrator.trace	defclass:20,defmethod:20,defparameter:1,defun:12,defvar:1
commands.lisp	REMOVE	—	orchestrator.cli	5	no	uiop	orchestrator.meta,orchestrator.spec	defun:5
component-gate.lisp	REUSE	L9	orchestrator.cli	8	no	-	orchestrator.component-scan,orchestrator.components,orchestrator.contracts,orchestrator.identity,orchestrator.self-model,orchestrator.uris	defun:8
config-loader.lisp	REUSE	—	orchestrator.cli	1	no	cl-yaml,uiop	UNKNOWN-none-qualified	defun:1
constitutional-dispatch.lisp	REUSE	L10	orchestrator.cli	5	no	-	orchestrator.constitution,orchestrator.self-history,orchestrator.trace	defgeneric:1,defmethod:2,defun:2
content-validation.lisp	REUSE	§4.2	orchestrator.cli	22	no	cl-ppcre	UNKNOWN-none-qualified	defclass:6,defgeneric:1,defmethod:6,defparameter:3,defun:6
contract-gate.lisp	REUSE	L10	orchestrator.cli	1	no	-	orchestrator.contracts,orchestrator.institution,orchestrator.legal-id,orchestrator.self-model,orchestrator.uris	defun:1
decisions.lisp	EXTEND	§4.9	orchestrator.cli	76	no	babel,cl-ppcre,cl-yaml,jonathan,uiop	orchestrator.adoption,orchestrator.casegrammar,orchestrator.citation-authority,orchestrator.cognition,orchestrator.decisions,orchestrator.exec-provenance,orchestrator.gov-source,orchestrator.journal,orchestrator.knowledge-packs,orchestrator.memory,orchestrator.paths,orchestrator.pdf-authority,orchestrator.precedent,orchestrator.self,orchestrator.self-history,orchestrator.self-model,orchestrator.spec,orchestrator.trace,orchestrator.whatif	defparameter:7,defun:65,defvar:4
deontic-gate.lisp	REUSE	§4.3	orchestrator.cli	2	no	-	orchestrator.contracts,orchestrator.extraction,orchestrator.self-model	defparameter:1,defun:1
dialogue-gate.lisp	REUSE	§4.12	orchestrator.cli	9	no	cl-ppcre	orchestrator.cognition,orchestrator.contracts,orchestrator.knowledge-packs,orchestrator.memory,orchestrator.self-model	defclass:2,defmethod:3,defparameter:1,defun:3
draft-commands.lisp	DEFER_PRIVATE	private	orchestrator.cli	9	no	-	orchestrator.casegrammar,orchestrator.contracts,orchestrator.counterfactual,orchestrator.deontic,orchestrator.inference,orchestrator.journal,orchestrator.knowledge,orchestrator.knowledge-packs,orchestrator.metaeval,orchestrator.self-history,orchestrator.self-model,orchestrator.subsumption,orchestrator.trace	defun:9
event-gate.lisp	REUSE	§4.5	orchestrator.cli	3	no	-	orchestrator.contracts,orchestrator.inference,orchestrator.self-model	defparameter:1,defun:2
evolution-gate.lisp	REUSE	L8	orchestrator.cli	12	no	uiop	orchestrator.adoption,orchestrator.contracts,orchestrator.paths,orchestrator.self-model,orchestrator.subsumption,orchestrator.trace,orchestrator.whatif	defun:12
