file	disposition	layer	package	n_toplevel	foreign_cffi	ext_libs	qualified_refs(APPROX;unqualified/dynamic=UNKNOWN)	kinds
jws-authority.lisp	EXTEND	§4.10	orchestrator.jws-authority	34	no	alexandria,babel,cl-base64,ironclad,jonathan,uiop	orchestrator.asn1	define-condition:3,defparameter:2,defun:29
knowledge-graph.lisp	EXTEND	§4.3	orchestrator.graph	38	no	-	orchestrator.journal,orchestrator.safe-read,orchestrator.temporal	defclass:5,defconstant:3,defmacro:1,defmethod:2,defun:25,defvar:2
knowledge-packs.lisp	REUSE	CORE	orchestrator.knowledge-packs	13	no	ironclad	orchestrator.paths,orchestrator.safe-read	defun:10,defvar:3
layout-types.lisp	EXTEND	§4.2	orchestrator.layout-types	95	no	-	UNKNOWN-none-qualified	defclass:5,defgeneric:6,define-condition:6,defmacro:2,defmethod:36,defparameter:1,defun:33,defvar:6
legal-ast.lisp	EXTEND	§4.3 (Legal IR)	orchestrator.legal-ast	102	no	cl-ppcre	orchestrator.journal,orchestrator.safe-read	defclass:17,defgeneric:4,define-condition:4,defmacro:4,defmethod:13,defparameter:7,defun:47,defvar:6
legal-audit-system.lisp	EXTEND	§4.14	orchestrator.audit	40	no	alexandria,jonathan,local-time	orchestrator.hash-authority,orchestrator.jws-authority,orchestrator.merkle,orchestrator.time,orchestrator.uris,orchestrator.write-authority	defclass:3,defmethod:7,defparameter:5,defun:23,defvar:2
legal-authority-receipt.lisp	EXTEND	§4.2, §4.7	orchestrator.legal-receipt	12	no	-	orchestrator.canonical-representation,orchestrator.version-graph	defun:12
legal-casegrammar.lisp	DEFER_PRIVATE	private	orchestrator.casegrammar	40	no	cl-ppcre	orchestrator.citation-authority,orchestrator.knowledge-packs,orchestrator.subsumption	defparameter:6,defun:29,defvar:5
legal-conflict-resolution.lisp	REUSE	§4.3	orchestrator.conflict	9	no	-	UNKNOWN-none-qualified	defrule:5,defun:4
legal-counterfactual.lisp	REUSE	§4.8	orchestrator.counterfactual	4	no	-	orchestrator.deontic,orchestrator.subsumption	defun:4
legal-decisions.lisp	EXTEND	§4.9	orchestrator.decisions	57	no	cl-ppcre	UNKNOWN-none-qualified	defclass:3,defparameter:18,defun:29,defvar:7
legal-deontic.lisp	REUSE	§4.3	orchestrator.deontic	17	no	-	orchestrator.conflict	defparameter:1,defrule:3,defun:12,defvar:1
legal-dialectic.lisp	EXTEND	L6	orchestrator.dialectic	1	no	-	orchestrator.deontic,orchestrator.inference,orchestrator.subsumption	defun:1
legal-event-calculus.lisp	REUSE	§4.5	orchestrator.eventcalculus	3	no	-	UNKNOWN-none-qualified	defrule:3
legal-extraction-verify.lisp	EXTEND	§4.3	orchestrator.extraction	18	no	uiop	UNKNOWN-none-qualified	defparameter:3,defun:15
legal-hypergraph.lisp	REUSE	§4.8	orchestrator.hypergraph	22	no	-	UNKNOWN-none-qualified	defclass:5,defgeneric:3,defmethod:6,defun:8
legal-hypo.lisp	DEFER_PRIVATE	private	orchestrator.hypo	5	no	-	UNKNOWN-none-qualified	defun:5
legal-id-registry.lisp	EXTEND	§4.2	orchestrator.legal-id	29	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:2,defun:27
legal-identity.lisp	EXTEND	§4.2	orchestrator.identity	31	no	uiop	orchestrator.paths,orchestrator.safe-read,orchestrator.spec,orchestrator.trace	define-condition:1,defparameter:3,defun:26,defvar:1
legal-inference-engine.lisp	REUSE	§4.3, §4.7	orchestrator.inference	54	no	-	orchestrator.metaeval,orchestrator.trace	defclass:4,defgeneric:1,defmacro:1,defmethod:2,defrule:3,defun:43
legal-knowledge.lisp	REUSE	CORE	orchestrator.knowledge	26	no	-	UNKNOWN-none-qualified	defparameter:1,defun:23,defvar:2
legal-penalty.lisp	REUSE	§4.5	orchestrator.penalty	15	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:4,defstruct:1,defun:10
legal-precedent.lisp	DEFER_PRIVATE	private	orchestrator.precedent	8	no	-	UNKNOWN-none-qualified	defrule:6,defun:2
legal-qa.lisp	EXTEND	§4.7	orchestrator.legal-qa	11	no	-	UNKNOWN-none-qualified	defun:11
legal-reasoning-bridge.lisp	EXTEND	§4.7	orchestrator.reasoning	9	no	-	orchestrator.identity,orchestrator.inference,orchestrator.legal-receipt,orchestrator.references,orchestrator.version-graph	define-condition:1,defun:6,defvar:2
legal-references.lisp	REUSE	§4.5, §4.8	orchestrator.references	13	no	cl-ppcre	UNKNOWN-none-qualified	defparameter:3,defun:10
legal-strategy.lisp	DEFER_PRIVATE	private	orchestrator.strategy	6	no	-	orchestrator.knowledge-packs,orchestrator.temporal	defun:5,defvar:1
legal-subsumption.lisp	DEFER_PRIVATE	private	orchestrator.subsumption	17	no	-	orchestrator.deontic,orchestrator.inference,orchestrator.knowledge,orchestrator.knowledge-packs,orchestrator.safe-read,orchestrator.trace	defparameter:4,defun:12,defvar:1
legal-temporal.lisp	REUSE	§4.5	orchestrator.temporal	4	no	-	UNKNOWN-none-qualified	defun:4
legislation-ingestion.lisp	EXTEND	§4.1	orchestrator.ingestion	11	no	-	UNKNOWN-none-qualified	defstruct:3,defun:8
lexicon-neurolingo.lisp	REUSE	§4.3	orchestrator.greek-nlp	13	no	-	UNKNOWN-none-qualified	defclass:2,defmethod:2,defparameter:1,defun:8
logging.lisp	REUSE	—	orchestrator.logging	23	no	ironclad	orchestrator.json-emit,orchestrator.time	defconstant:3,defmacro:1,defparameter:1,defun:14,defvar:4
mcp-server.lisp	EXTEND	§4.7, §4.15	orchestrator.mcp	18	no	jonathan,uiop	orchestrator.paths	defmacro:1,defparameter:2,defun:11,defvar:4
memory.lisp	REUSE	L1/L9	orchestrator.memory	31	no	-	orchestrator.citation-authority,orchestrator.journal,orchestrator.paths	defun:29,defvar:2
merkle-authority.lisp	REUSE	§4.10	orchestrator.merkle	16	no	alexandria,babel,ironclad	UNKNOWN-none-qualified	defparameter:3,defun:13
narrative-provenance.lisp	REUSE	§4.2	orchestrator.provenance	28	no	local-time,uuid	orchestrator.time,orchestrator.uris	defclass:4,defmethod:1,defparameter:3,defun:20
orthography-lexicon.lisp	REUSE	§4.3	orchestrator.orthography	25	no	cl-ppcre	UNKNOWN-none-qualified	defclass:1,defmethod:3,defparameter:8,defun:13
paths.lisp	REUSE	—	orchestrator.paths	30	no	uiop	orchestrator.time	define-condition:1,defmacro:2,defparameter:7,defun:20
pdf-authority.lisp	REUSE	§4.2	orchestrator.pdf-authority	51	yes	babel,cl-ppcre,uiop	orchestrator.layout-types	defctype:6,define-condition:5,define-foreign-library:3,defun:35,defvar:2
proof-carrying.lisp	EXTEND	§4.10, §4.15	orchestrator.proof-carrying	17	no	jonathan,uiop	UNKNOWN-none-qualified	define-condition:1,defparameter:1,defun:15
proposals.lisp	REUSE	L5/L8	orchestrator.proposals	17	no	-	orchestrator.journal,orchestrator.paths	defun:16,defvar:1
protocols.lisp	REUSE	—	orchestrator.protocols	41	no	-	UNKNOWN-none-qualified	defgeneric:41
provenance-link.lisp	REUSE	L1	orchestrator.exec-provenance	7	no	-	orchestrator.component-scan,orchestrator.components,orchestrator.contracts,orchestrator.trace	defun:6,defvar:1
rdfs-inference.lisp	REUSE	§4.11	orchestrator.rdfs-inference	31	no	alexandria	UNKNOWN-none-qualified	defparameter:2,defstruct:4,defun:25
reasoning-authority.lisp	REUSE	§4.11	orchestrator.reasoning-authority	45	no	-	UNKNOWN-none-qualified	defparameter:16,defun:27,defvar:2
